cpv_code;cpv_description;total_tenders
45000000-7;Roboty budowlane;58906
45233140-2;Roboty drogowe;9423
45233120-6;Roboty w zakresie budowy dróg;9148
71320000-7;Usługi inżynieryjne w zakresie projektowania;8356
79710000-4;Usługi ochroniarskie;6220
45453000-7;Roboty remontowe i renowacyjne;5944
45233220-7;Roboty w zakresie nawierzchni dróg;5160
45233142-6;Roboty w zakresie naprawy dróg;4954
90500000-2;Usługi związane z odpadami;4736
30200000-1;Urządzenia komputerowe;4582
33100000-1;Urządzenia medyczne;4407
33140000-3;Materiały medyczne;4396
66510000-8;Usługi ubezpieczeniowe;4096
15800000-6;Różne produkty spożywcze;4039
60100000-9;Usługi w zakresie transportu drogowego;4011
33600000-6;Produkty farmaceutyczne;3935
90620000-9;Usługi odśnieżania;3933
45200000-9;Roboty budowlane w zakresie wznoszenia kompletnych obiektów budowlanych lub ich części oraz roboty w zakresie inżynierii lądowej i wodnej;3923
34110000-1;Samochody osobowe;3834
45233000-9;Roboty w zakresie konstruowania, fundamentowania oraz wykonywania nawierzchni autostrad, dróg;3585
90910000-9;Usługi sprzątania;3578
80000000-4;Usługi edukacyjne i szkoleniowe;3529
15000000-8;Żywność, napoje, tytoń i produkty pokrewne;3521
45231300-8;Roboty budowlane w zakresie budowy wodociągów i rurociągów do odprowadzania ścieków;3400
33696500-0;Odczynniki laboratoryjne;3367
55321000-6;Usługi przygotowywania posiłków;3330
09135100-5;Olej opałowy;3290
64110000-0;Usługi pocztowe;3141
45210000-2;Roboty budowlane w zakresie budynków;3135
71220000-6;Usługi projektowania architektonicznego;3130
09134100-8;Olej napędowy;3106
15100000-9;Produkty zwierzęce, mięso i produkty mięsne;2945
48000000-8;Pakiety oprogramowania i systemy informatyczne;2934
80500000-9;Usługi szkoleniowe;2920
60130000-8;Usługi w zakresie specjalistycznego transportu drogowego osób;2750
71000000-8;Usługi architektoniczne, budowlane, inżynieryjne i kontrolne;2717
34144210-3;Wozy strażackie;2681
30213100-6;Komputery przenośne;2674
71247000-1;Nadzór nad robotami budowlanymi;2574
45100000-8;Przygotowanie terenu pod budowę;2240
45111200-0;Roboty w zakresie przygotowania terenu pod budowę i roboty ziemne;2228
09300000-2;Energia elektryczna, cieplna, słoneczna i jądrowa;2161
15500000-3;Produkty mleczarskie;2152
45400000-1;Roboty wykończeniowe w zakresie obiektów budowlanych;2091
55520000-1;Usługi dostarczania posiłków;2037
71520000-9;Usługi nadzoru budowlanego;2021
71322000-1;Usługi inżynierii projektowej w zakresie inżynierii lądowej i wodnej;1909
09123000-7;Gaz ziemny;1782
09100000-0;Paliwa;1743
39100000-3;Meble;1743
09310000-5;Elektryczność;1729
48820000-2;Serwery;1709
45233222-1;Roboty budowlane w zakresie układania chodników i asfaltowania;1673
33631600-8;Środki antyseptyczne i dezynfekcyjne;1659
71410000-5;Usługi planowania przestrzennego;1658
60112000-6;Usługi w zakresie publicznego transportu drogowego;1635
45316110-9;Instalowanie urządzeń oświetlenia drogowego;1631
45310000-3;Roboty instalacyjne elektryczne;1619
33141000-0;Jednorazowe, niechemiczne artykuły medyczne i hematologiczne;1603
85000000-9;Usługi w zakresie zdrowia i opieki społecznej;1603
16700000-2;Ciągniki;1581
38000000-5;Sprzęt laboratoryjny, optyczny i precyzyjny (z wyjątkiem szklanego;1559
66113000-5;Usługi udzielania kredytu;1497
39162100-6;Pomoce dydaktyczne;1496
33190000-8;Różne urządzenia i produkty medyczne;1435
45233200-1;Roboty w zakresie różnych nawierzchni;1400
90511000-2;Usługi wywozu odpadów;1398
15810000-9;Pieczywo, świeże wyroby piekarskie i ciastkarskie;1387
98310000-9;Usługi prania i czyszczenia na sucho;1384
55300000-3;Usługi restauracyjne i dotyczące podawania posiłków;1377
31122000-7;Jednostki prądotwórcze;1335
55523100-3;Usługi w zakresie posiłków szkolnych;1315
45300000-0;Roboty instalacyjne w budynkach;1259
30190000-7;Różny sprzęt i artykuły biurowe;1256
45212200-8;Roboty budowlane w zakresie budowy obiektów sportowych;1248
32420000-3;Urządzenia sieciowe;1229
15300000-1;Owoce, warzywa i podobne produkty;1210
30213000-5;Komputery osobiste;1179
72000000-5;Usługi informatyczne: konsultacyjne, opracowywania oprogramowania, internetowe i wsparcia;1179
77310000-6;Usługi sadzenia roślin oraz utrzymania terenów zielonych;1171
80530000-8;Usługi szkolenia zawodowego;1171
79823000-9;Usługi drukowania i dostawy;1166
45112723-9;Roboty w zakresie kształtowania placów zabaw;1155
14212200-2;Kruszywo;1143
39130000-2;Meble biurowe;1118
45110000-1;"Roboty w zakresie burzenia i rozbiórki obiektów budowlanych; roboty ziemne";1079
45112720-8;Roboty w zakresie kształtowania terenów sportowych i rekreacyjnych;1038
39294100-0;Artykuły informacyjne i promocyjne;1035
09331200-0;Słoneczne moduły fotoelektryczne;1022
50000000-5;Usługi naprawcze i konserwacyjne;1012
09000000-3;Produkty naftowe, paliwo, energia elektryczna i inne źródła energii;1011
45231400-9;Roboty budowlane w zakresie budowy linii energetycznych;998
30213300-8;Komputer biurkowy;997
45230000-8;"Roboty budowlane w zakresie budowy rurociągów, linii komunikacyjnych i elektroenergetycznych, autostrad, dróg, lotnisk i kolei; wyrównywanie terenu";960
45111300-1;Roboty rozbiórkowe;940
22462000-6;Materiały reklamowe;931
45233141-9;Roboty w zakresie konserwacji dróg;919
60000000-8;Usługi transportowe (z wyłączeniem transportu odpadów;904
31520000-7;Lampy i oprawy oświetleniowe;899
79952000-2;Usługi w zakresie organizacji imprez;885
39800000-0;Środki czyszczące i polerujące;872
55100000-1;Usługi hotelarskie;870
50421000-2;Usługi w zakresie napraw i konserwacji sprzętu medycznego;864
55120000-7;Usługi hotelarskie w zakresie spotkań i konferencji;864
38500000-0;Aparatura kontrolna i badawcza;832
79800000-2;Usługi drukowania i powiązane;824
33141110-4;Opatrunki;817
24111500-0;Gazy medyczne;813
34100000-8;Pojazdy silnikowe;804
39830000-9;Środki czyszczące;793
45233100-0;Roboty w zakresie budowy autostrad, dróg;792
34115200-8;Pojazdy silnikowe do transportu mniej niż 10 osób;783
85121000-3;Usługi medyczne;778
45220000-5;Roboty inżynieryjne i budowlane;768
90524000-6;Usługi w zakresie odpadów medycznych;761
30125110-5;Toner do drukarek laserowych/faksów;752
39150000-8;Różne meble i wyposażenie;751
90911200-8;Usługi sprzątania budynków;749
45330000-9;Roboty instalacyjne wodno-kanalizacyjne i sanitarne;738
15110000-2;Mięso;731
30236000-2;Różny sprzęt komputerowy;727
85121270-6;Usługi psychiatryczne lub psychologiczne;719
45450000-6;Roboty budowlane wykończeniowe, pozostałe;717
33696300-8;Odczynniki chemiczne;712
45111291-4;Roboty w zakresie zagospodarowania terenu;712
90919200-4;Usługi sprzątania biur;711
09132100-4;Benzyna bezołowiowa;694
71200000-0;Usługi architektoniczne i podobne;694
34121000-1;Autobusy i autokary;688
90610000-6;Usługi sprzątania i zamiatania ulic;685
14210000-6;Żwir, piasek, kamień kruszony i kruszywa;676
34927100-2;Sól drogowa;676
85311000-2;Usługi opieki społecznej obejmujące miejsca noclegowe;669
37535200-9;Wyposażenie placów zabaw;655
33141121-4;Szwy chirurgiczne;654
33183100-7;Implanty ortopedyczne;649
09111400-4;Paliwa drzewne;648
90000000-7;Usługi odbioru ścieków, usuwania odpadów, czyszczenia/sprzątania i usługi ekologiczne;645
45233123-7;Roboty budowlane w zakresie dróg podrzędnych;637
33112200-0;Aparaty ultrasonograficzne;635
71221000-3;Usługi architektoniczne w zakresie obiektów budowlanych;619
90600000-3;Usługi sprzątania oraz usługi sanitarne na obszarach miejskich lub wiejskich oraz usługi powiązane;617
77211400-6;Usługi wycinania drzew;615
18100000-0;Odzież branżowa, specjalna odzież robocza i dodatki;596
80510000-2;Usługi szkolenia specjalistycznego;589
45212221-1;Roboty budowlane związane z obiektami na terenach sportowych;581
15811000-6;Pieczywo;579
45111000-8;Roboty w zakresie burzenia, roboty ziemne;572
66110000-4;Usługi bankowe;564
45260000-7;Roboty w zakresie wykonywania pokryć i konstrukcji dachowych i inne podobne roboty specjalistycze;558
72611000-6;Usługi w zakresie wsparcia technicznego;556
32322000-6;Urządzenia multimedialne;544
34144900-7;Pojazdy elektryczne;544
64100000-7;Usługi pocztowe i kurierskie;540
30192000-1;Wyroby biurowe;536
71400000-2;Usługi architektoniczne dotyczące planowania przestrzennego i zagospodarowania terenu;535
70000000-1;Usługi w zakresie nieruchomości;533
77300000-3;Usługi ogrodnicze;533
71319000-7;Usługi biegłych;531
85200000-1;Usługi weterynaryjne;531
34114121-3;Karetki;530
92000000-1;Usługi rekreacyjne, kulturalne i sportowe;530
03142500-3;Jaja;528
45212220-4;Roboty budowlane związane z wielofunkcyjnymi obiektami sportowymi;526
45232410-9;Roboty w zakresie kanalizacji ściekowej;526
45215140-0;Roboty budowlane w zakresie obiektów szpitalnych;523
50400000-9;Usługi w zakresie napraw i konserwacji urządzeń medycznych i precyzyjnych;523
71242000-6;Przygotowanie przedsięwzięcia i projektu, oszacowanie kosztów;516
09111210-5;Węgiel kamienny;510
50700000-2;Usługi w zakresie napraw i konserwacji instalacji budynkowych;505
50730000-1;Usługi w zakresie napraw i konserwacji układów chłodzących;504
90533000-2;Usługi gospodarki odpadami;503
33696000-5;Odczynniki i środki kontrastowe;501
45331100-7;Instalowanie centralnego ogrzewania;500
45233221-4;Malowanie nawierzchi;499
45246400-7;Roboty w zakresie ochrony przeciwpowodziowej;498
39000000-2;Meble (włącznie z biurowymi;497
33000000-0;Urządzenia medyczne, farmaceutyki i produkty do pielęgnacji ciała;495
55110000-4;Hotelarskie usługi noclegowe;488
33690000-3;Różne produkty lecznicze;487
45233252-0;Roboty w zakresie nawierzchni ulic;487
03200000-3;Zboża, ziemniaki, warzywa, owoce i orzechy;486
42416100-6;Windy;485
55524000-9;Usługi dostarczania posiłków do szkół;482
79810000-5;Usługi drukowania;480
24440000-0;Różne nawozy;479
50800000-3;Różne usługi w zakresie napraw i konserwacji;477
39162110-9;Sprzęt dydaktyczny;475
34114000-9;Pojazdy specjalne;472
30195000-2;Tablice;465
77314100-5;Usługi w zakresie trawników;465
38540000-2;Maszyny i aparatura badawcza i pomiarowa;464
45221111-3;Roboty budowlane w zakresie mostów drogowych;464
71240000-2;Usługi architektoniczne, inżynieryjne i planowania;464
45443000-4;Roboty elewacyjne;461
48822000-6;Serwery komputerowe;458
85311200-4;Usługi opieki społecznej dla osób niepełnosprawnych;458
34928480-6;Pojemniki i kosze na odpady i śmieci;456
50232100-1;Usługi w zakresie konserwacji oświetlenia ulicznego;451
19520000-7;Produkty z tworzyw sztucznych;448
43260000-3;Koparki, czerparki i ładowarki, i maszyny górnicze;443
79342200-5;Usługi w zakresie promocji;443
79100000-5;Usługi prawnicze;441
85320000-8;Usługi społeczne;430
75252000-7;Służby ratownicze;427
45112710-5;Roboty w zakresie kształtowania terenów zielonych;419
34130000-7;Pojazdy silnikowe do transportu towarów;415
45311200-2;Roboty w zakresie instalacji elektrycznych;415
35110000-8;Sprzęt gaśniczy, ratowniczy i bezpieczeństwa;409
03221000-6;Warzywa;406
44113700-2;Materiały do naprawiania nawierzchni drogowych;403
30233000-1;Urządzenia do przechowywania i odczytu danych;398
44211100-3;Budynki modułowe i przenośne;398
45261000-4;Wykonywanie pokryć i konstrukcji dachowych oraz podobne roboty;396
43261000-0;Koparki mechaniczne;388
18424300-0;Rękawice jednorazowe;383
55320000-9;Usługi podawania posiłków;382
33141420-0;Rękawice chirurgiczne;381
63500000-4;Usługi biur podróży, podmiotów turystycznych i pomocy turystycznej;379
63511000-4;Organizacja wycieczek;378
98380000-0;Usługi psiarni;378
45321000-3;Izolacja cieplna;375
34114400-3;Minibusy;373
09111000-0;Węgiel i paliwa na bazie węgla;372
30232100-5;Drukarki i plotery;365
45316100-6;Instalowanie urządzeń oświetlenia zewnętrznego;365
71250000-5;Usługi architektoniczne, inżynieryjne i pomiarowe;365
50112000-3;Usługi w zakresie napraw i konserwacji samochodów;364
34144510-6;Pojazdy do transportu odpadów;360
71354000-4;Usługi sporządzania map;359
45240000-1;Budowa obiektów inżynierii wodnej;358
50118110-9;Usługi holownicze;357
71300000-1;Usługi inżynieryjne;355
03220000-9;Warzywa, owoce i orzechy;351
18930000-7;Worki i torby;351
45231000-5;Roboty budowlane w zakresie budowy rurociągów, ciągów komunikacyjnych i linii energetycznych;350
39717200-3;Urządzenia klimatyzacyjne;349
45320000-6;Roboty izolacyjne;348
71355000-1;Usługi pomiarowe;347
66114000-2;Usługi leasingu finansowego;345
85312100-0;Usługi opieki dziennej;345
33168000-5;Przyrządy do endoskopii, endochirurgii;343
90512000-9;Usługi transportu odpadów;343
71356100-9;Usługi kontroli technicznej;335
45214400-4;Roboty budowlane w zakresie obiektów budowlanych związanych ze szkolnictwem wyższym;334
33162000-3;Urządzenia i przyrządy używane na salach operacyjnych;333
45261210-9;Wykonywanie pokryć dachowych;332
45252127-4;Roboty budowlane w zakresie oczyszczalni ścieków;330
30197644-2;Papier kserograficzny;328
45212140-9;Obiekty rekreacyjne;321
77211500-7;Usługi pielęgnacji drzew;321
72260000-5;Usługi w zakresie oprogramowania;320
34144200-0;Pojazdy służb ratowniczych;318
45331000-6;Instalowanie urządzeń grzewczych, wentylacyjnych i klimatyzacyjnych;318
45311000-0;Roboty w zakresie okablowania oraz instalacji elektrycznych;315
77200000-2;Usługi leśnictwa;314
33696200-7;Odczynniki do badania krwi;311
15112000-6;Drób;310
33199000-1;Odzież medyczna;309
45262700-8;Przebudowa budynków;309
45261900-3;Naprawa i konserwacja dachów;308
35113400-3;Odzież ochronna i zabezpieczająca;307
73110000-6;Usługi badawcze;307
44111000-1;Materiały budowlane;306
45233162-2;Roboty budowlane w zakresie ścieżek rowerowych;305
45331220-4;Instalowanie urządzeń klimatyzacyjnych;302
45313100-5;Instalowanie wind;297
45214210-5;Roboty budowlane w zakresie szkół podstawowych;295
72250000-2;Usługi w zakresie konserwacji i wsparcia systemów;295
33192000-2;Meble medyczne;292
55322000-3;Usługi gotowania posiłków;292
15811100-7;Chleb;290
09120000-6;Paliwa gazowe;289
79950000-8;Usługi w zakresie organizowania wystaw, targów i kongresów;289
45223300-9;Roboty budowlane w zakresie parkingów;288
45421000-4;Roboty w zakresie stolarki budowlanej;288
60172000-4;Wynajem autobusów i autokarów wraz z kierowcą;287
09332000-5;Instalacje słoneczne;286
45233253-7;Roboty w zakresie nawierzchni dróg dla pieszych;283
60140000-1;Nieregularny transport osób;282
34144511-3;Pojazdy do zbierania odpadów;280
34300000-0;Części i akcesoria do pojazdów i silników do nich;277
60170000-0;Wynajem pojazdów przeznaczonych do transportu osób wraz z kierowcą;276
45233260-9;Roboty budowlane w zakresie dróg pieszych;275
38421100-3;Wodomierze;272
45333000-0;Roboty instalacyjne gazowe;272
55000000-0;Usługi hotelarskie, restauracyjne i handlu detalicznego;272
15200000-0;Ryby przetworzone i konserwowane;271
30197630-1;Papier do drukowania;271
09134000-7;Oleje napędowe;267
77100000-1;Usługi rolnicze;267
45211341-1;Roboty budowlane w zakresie mieszkań;266
79341400-0;Usługi prowadzenia kampanii reklamowych;265
38652100-1;Projektory;264
33760000-5;Papier toaletowy, chusteczki higieniczne, ręczniki do rąk i serwety;263
37400000-2;Artykuły i sprzęt sportowy;263
15896000-5;Produkty głęboko mrożone;262
33141300-3;Urządzenia do nakłuwania żył, pobierania krwi;259
16000000-5;Maszyny rolnicze;258
63512000-1;Usługi sprzedaży biletów podróżnych i pakietów wycieczkowych;258
30231300-0;Monitory ekranowe;257
42962000-7;Urządzenia drukujące i graficzne;257
43325000-7;Wyposażenie parków i placów zabaw;256
45214100-1;Roboty budowlane w zakresie budowy przedszkolnych obiektów budowlanych;256
85100000-0;Usługi ochrony zdrowia;255
45453100-8;Roboty renowacyjne;253
90650000-8;Usługi usuwania azbestu;253
30199750-2;Talony;251
90513100-7;Usługi wywozu odpadów pochodzących z gospodarstw domowych;250
90900000-6;Usługi w zakresie sprzątania i odkażania;250
18000000-9;Odzież, obuwie, artykuły bagażowe i dodatki;249
39160000-1;Meble szkolne;244
45215000-7;Roboty budowlane w zakresie budowy obiektów budowlanych opieki zdrowotnej i społecznej, krematoriów oraz obiektów użyteczności publicznej;244
72320000-4;Usługi bazy danych;244
45442100-8;Roboty malarskie;242
77312000-0;Usługi usuwania chwastów;241
03111000-2;Nasiona;239
33184100-4;Implanty chirurgiczne;239
34136100-0;Lekkie samochody półciężarowe;239
71241000-9;Studia wykonalności, usługi doradcze, analizy;239
15113000-3;Wieprzowina;238
33191000-5;Urządzenia sterylizujące, dezynfekcyjne i higieniczne;237
37310000-4;Instrumenty muzyczne;237
38410000-2;Przyrządy pomiarowe;237
50750000-7;Usługi w zakresie konserwacji wind;237
90630000-2;Usługi usuwania oblodzeń;237
45332000-3;Roboty instalacyjne wodne i kanalizacyjne;236
85120000-6;Usługi medyczne i podobne;236
71630000-3;Usługi kontroli i nadzoru technicznego;234
79530000-8;Usługi w zakresie tłumaczeń pisemnych;234
30230000-0;Sprzęt związany z komputerami;233
39180000-7;Meble laboratoryjne;232
39220000-0;Sprzęt kuchenny, artykuły gospodarstwa domowego i artykuły domowe oraz artykuły cateringowe;232
71354300-7;Usługi badań katastralnych;232
48821000-9;Serwery sieciowe;231
45232440-8;Roboty budowlane w zakresie budowy rurociągów do odprowadzania ścieków;230
50531400-0;Usługi w zakresie napraw i konserwacji dźwigów;230
64200000-8;Usługi telekomunikacyjne;230
85311100-3;Usługi opieki społecznej dla osób starszych;229
45233223-8;Wymiana nawierzchni drogowej;228
80570000-0;Usługi szkolenia w dziedzinie rozwoju osobistego;227
24100000-5;Gazy;226
31500000-1;Urządzenia oświetleniowe i lampy elektryczne;226
45233250-6;Roboty w zakresie nawierzchni, z wyjątkiem dróg;226
79956000-0;Usługi w zakresie organizacji targów i wystaw;224
90510000-5;Usuwanie i obróbka odpadów;224
48900000-7;Różne pakiety oprogramowania i systemy komputerowe;223
72253200-5;Usługi w zakresie wsparcia systemu;222
45221100-3;Roboty budowlane w zakresie budowy mostów;221
33651600-4;Szczepionki;220
85312320-8;Usługi doradztwa;220
15710000-8;Pasza dla zwierząt hodowlanych i innych;219
33162200-5;Przyrządy używane na salach operacyjnych;219
38433000-9;Spektrometry;219
38437000-7;Pipety i akcesoria laboratoryjne;218
38510000-3;Mikroskopy;218
72267000-4;Usługi w zakresie konserwacji i napraw oprogramowania;218
