province;cpv_division;division_name;tender_count
Dolnośląskie;45;Roboty budowlane;1390
Dolnośląskie;33;Sprzęt medyczny i farmaceutyczny;236
Dolnośląskie;71;Usługi architektoniczne i inżynieryjne;230
Dolnośląskie;30;Sprzęt komputerowy i biurowy;211
Dolnośląskie;39;Meble i wyposażenie wnętrz;132
Dolnośląskie;15;Artykuły spożywcze i napoje;122
Dolnośląskie;55;Usługi hotelarskie i restauracyjne;121
Dolnośląskie;34;Sprzęt transportowy i pojazdy;114
Dolnośląskie;9;Produkty naftowe, paliwa i energia;107
Dolnośląskie;90;Usługi środowiskowe i sanitarne;101
Dolnośląskie;60;Usługi transportu drogowego;95
Dolnośląskie;38;Sprzęt laboratoryjny i naukowy;61
Dolnośląskie;48;Pakiety oprogramowania;60
Dolnośląskie;79;Usługi biznesowe i doradcze;58
Dolnośląskie;50;Usługi napraw i konserwacji;44
Dolnośląskie;66;Usługi finansowe i ubezpieczeniowe;39
Dolnośląskie;77;Usługi rolnicze i leśne;35
Dolnośląskie;72;Usługi informatyczne;34
Dolnośląskie;80;Usługi edukacyjne;33
Dolnośląskie;44;Materiały budowlane;33
Dolnośląskie;42;Maszyny przemysłowe;31
Dolnośląskie;85;Usługi zdrowotne i społeczne;27
Dolnośląskie;32;Sprzęt elektroniczny i telekomunikacyjny;26
Dolnośląskie;18;Odzież i obuwie;19
Dolnośląskie;14;Górnictwo i minerały;18
Dolnośląskie;3;Produkty rolne, łowieckie i rybne;17
Dolnośląskie;24;Produkty chemiczne;17
Dolnośląskie;37;Sprzęt sportowy i rekreacyjny;17
Dolnośląskie;31;Sprzęt elektryczny;17
Dolnośląskie;64;Usługi pocztowe i telekomunikacyjne;14
Dolnośląskie;22;Drukowane materiały i produkty poligraficzne;14
Dolnośląskie;98;Pozostałe usługi komunalne i osobiste;14
Dolnośląskie;19;Wyroby skórzane i tekstylne;14
Dolnośląskie;75;Usługi administracji publicznej;10
Dolnośląskie;16;Maszyny rolnicze;9
Dolnośląskie;43;Maszyny górnicze;9
Dolnośląskie;63;Usługi spedycji i logistyki;5
Dolnośląskie;92;Usługi rekreacyjne i kulturalne;5
Dolnośląskie;73;Usługi badawczo-rozwojowe;4
Dolnośląskie;35;Sprzęt bezpieczeństwa i ochrony;4
Dolnośląskie;51;Usługi instalacyjne;3
Dolnośląskie;70;Usługi w zakresie nieruchomości;3
Kujawsko-pomorskie;45;Roboty budowlane;914
Kujawsko-pomorskie;33;Sprzęt medyczny i farmaceutyczny;219
Kujawsko-pomorskie;30;Sprzęt komputerowy i biurowy;198
Kujawsko-pomorskie;9;Produkty naftowe, paliwa i energia;120
Kujawsko-pomorskie;71;Usługi architektoniczne i inżynieryjne;93
Kujawsko-pomorskie;34;Sprzęt transportowy i pojazdy;85
Kujawsko-pomorskie;39;Meble i wyposażenie wnętrz;81
Kujawsko-pomorskie;90;Usługi środowiskowe i sanitarne;62
Kujawsko-pomorskie;15;Artykuły spożywcze i napoje;54
Kujawsko-pomorskie;66;Usługi finansowe i ubezpieczeniowe;54
Kujawsko-pomorskie;80;Usługi edukacyjne;50
Kujawsko-pomorskie;60;Usługi transportu drogowego;50
Kujawsko-pomorskie;44;Materiały budowlane;44
Kujawsko-pomorskie;48;Pakiety oprogramowania;43
Kujawsko-pomorskie;79;Usługi biznesowe i doradcze;41
Kujawsko-pomorskie;50;Usługi napraw i konserwacji;37
Kujawsko-pomorskie;38;Sprzęt laboratoryjny i naukowy;34
Kujawsko-pomorskie;42;Maszyny przemysłowe;29
Kujawsko-pomorskie;55;Usługi hotelarskie i restauracyjne;27
Kujawsko-pomorskie;72;Usługi informatyczne;25
Kujawsko-pomorskie;32;Sprzęt elektroniczny i telekomunikacyjny;21
Kujawsko-pomorskie;24;Produkty chemiczne;20
Kujawsko-pomorskie;3;Produkty rolne, łowieckie i rybne;16
Kujawsko-pomorskie;31;Sprzęt elektryczny;15
Kujawsko-pomorskie;85;Usługi zdrowotne i społeczne;14
Kujawsko-pomorskie;77;Usługi rolnicze i leśne;13
Kujawsko-pomorskie;37;Sprzęt sportowy i rekreacyjny;13
Kujawsko-pomorskie;14;Górnictwo i minerały;11
Kujawsko-pomorskie;64;Usługi pocztowe i telekomunikacyjne;11
Kujawsko-pomorskie;35;Sprzęt bezpieczeństwa i ochrony;8
Kujawsko-pomorskie;98;Pozostałe usługi komunalne i osobiste;8
Kujawsko-pomorskie;43;Maszyny górnicze;7
Kujawsko-pomorskie;18;Odzież i obuwie;7
Kujawsko-pomorskie;16;Maszyny rolnicze;7
Kujawsko-pomorskie;63;Usługi spedycji i logistyki;7
Kujawsko-pomorskie;22;Drukowane materiały i produkty poligraficzne;6
Kujawsko-pomorskie;92;Usługi rekreacyjne i kulturalne;4
Kujawsko-pomorskie;70;Usługi w zakresie nieruchomości;4
Kujawsko-pomorskie;19;Wyroby skórzane i tekstylne;3
Kujawsko-pomorskie;73;Usługi badawczo-rozwojowe;2
Kujawsko-pomorskie;41;Woda i usługi wodne;2
Lubelskie;45;Roboty budowlane;1197
Lubelskie;33;Sprzęt medyczny i farmaceutyczny;217
Lubelskie;30;Sprzęt komputerowy i biurowy;197
Lubelskie;80;Usługi edukacyjne;182
Lubelskie;71;Usługi architektoniczne i inżynieryjne;129
Lubelskie;9;Produkty naftowe, paliwa i energia;115
Lubelskie;34;Sprzęt transportowy i pojazdy;100
Lubelskie;39;Meble i wyposażenie wnętrz;95
Lubelskie;15;Artykuły spożywcze i napoje;91
