organizationProvince;2021;2022;2023;2024;2025
Dolnośląskie;5376;8098;7232;7325;8267
Kujawsko-pomorskie;3767;5888;5422;5700;6114
Lubelskie;4377;6927;6578;6921;7617
Lubuskie;1685;2931;2539;2607;2919
Mazowieckie;13207;19875;19173;18998;20645
Małopolskie;6906;10204;9617;10055;11027
Opolskie;1931;3086;2675;2809;3247
Podkarpackie;3969;6309;5828;6213;6691
Podlaskie;2491;3999;3877;3897;4036
Pomorskie;4387;6552;5795;6208;6529
Warmińsko-mazurskie;3012;4335;4042;4145;4301
Wielkopolskie;6018;9251;8371;8874;9289
Zachodniopomorskie;3286;5212;4562;4504;4681
Łódzkie;3967;6612;6057;6504;7201
Śląskie;6822;10375;9198;9585;11043
Świętokrzyskie;2396;3938;3442;3884;4400
