wojewodztwo;cpv_code;cpv_description;liczba_przetargow
Dolnośląskie;45000000-7;Roboty budowlane;4730
Dolnośląskie;45233120-6;Roboty w zakresie budowy dróg;588
Dolnośląskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;585
Dolnośląskie;79710000-4;Usługi ochroniarskie;533
Dolnośląskie;45200000-9;Roboty budowlane w zakresie wznoszenia kompletnych obiektów budowlanych lub ich części oraz roboty w zakresie inżynierii lądowej i wodnej;509
Kujawsko-pomorskie;45000000-7;Roboty budowlane;3543
Kujawsko-pomorskie;66510000-8;Usługi ubezpieczeniowe;773
Kujawsko-pomorskie;45233120-6;Roboty w zakresie budowy dróg;498
Kujawsko-pomorskie;45233140-2;Roboty drogowe;426
Kujawsko-pomorskie;45453000-7;Roboty remontowe i renowacyjne;370
Lubelskie;45000000-7;Roboty budowlane;3389
Lubelskie;45233120-6;Roboty w zakresie budowy dróg;694
Lubelskie;45233000-9;Roboty w zakresie konstruowania, fundamentowania oraz wykonywania nawierzchni autostrad, dróg;586
Lubelskie;45233140-2;Roboty drogowe;563
Lubelskie;90500000-2;Usługi związane z odpadami;481
Lubuskie;45000000-7;Roboty budowlane;1786
Lubuskie;45233120-6;Roboty w zakresie budowy dróg;287
Lubuskie;45233140-2;Roboty drogowe;235
Lubuskie;80000000-4;Usługi edukacyjne i szkoleniowe;222
Lubuskie;79710000-4;Usługi ochroniarskie;206
Mazowieckie;45000000-7;Roboty budowlane;8865
Mazowieckie;45233120-6;Roboty w zakresie budowy dróg;1768
Mazowieckie;79710000-4;Usługi ochroniarskie;1386
Mazowieckie;45453000-7;Roboty remontowe i renowacyjne;1380
Mazowieckie;71320000-7;Usługi inżynieryjne w zakresie projektowania;1258
Małopolskie;45000000-7;Roboty budowlane;4270
Małopolskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;1185
Małopolskie;45233140-2;Roboty drogowe;1136
Małopolskie;45453000-7;Roboty remontowe i renowacyjne;801
Małopolskie;90620000-9;Usługi odśnieżania;691
Opolskie;45000000-7;Roboty budowlane;1795
Opolskie;33140000-3;Materiały medyczne;218
Opolskie;80000000-4;Usługi edukacyjne i szkoleniowe;188
Opolskie;45233000-9;Roboty w zakresie konstruowania, fundamentowania oraz wykonywania nawierzchni autostrad, dróg;187
Opolskie;09310000-5;Elektryczność;180
Podkarpackie;45000000-7;Roboty budowlane;3879
Podkarpackie;45233140-2;Roboty drogowe;750
Podkarpackie;71320000-7;Usługi inżynieryjne w zakresie projektowania;584
Podkarpackie;45233222-1;Roboty budowlane w zakresie układania chodników i asfaltowania;458
Podkarpackie;45233142-6;Roboty w zakresie naprawy dróg;437
Podlaskie;45000000-7;Roboty budowlane;1883
Podlaskie;45233120-6;Roboty w zakresie budowy dróg;802
Podlaskie;45233220-7;Roboty w zakresie nawierzchni dróg;363
Podlaskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;345
Podlaskie;90500000-2;Usługi związane z odpadami;264
Pomorskie;45000000-7;Roboty budowlane;3359
Pomorskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;608
Pomorskie;45233120-6;Roboty w zakresie budowy dróg;511
Pomorskie;45233140-2;Roboty drogowe;434
Pomorskie;80000000-4;Usługi edukacyjne i szkoleniowe;383
Warmińsko-mazurskie;45000000-7;Roboty budowlane;1872
Warmińsko-mazurskie;45233140-2;Roboty drogowe;540
Warmińsko-mazurskie;45233120-6;Roboty w zakresie budowy dróg;493
Warmińsko-mazurskie;45233220-7;Roboty w zakresie nawierzchni dróg;336
Warmińsko-mazurskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;319
Wielkopolskie;45000000-7;Roboty budowlane;4608
Wielkopolskie;45233140-2;Roboty drogowe;1340
Wielkopolskie;45233120-6;Roboty w zakresie budowy dróg;786
Wielkopolskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;573
Wielkopolskie;45453000-7;Roboty remontowe i renowacyjne;542
Zachodniopomorskie;45000000-7;Roboty budowlane;2719
Zachodniopomorskie;45233220-7;Roboty w zakresie nawierzchni dróg;355
Zachodniopomorskie;79710000-4;Usługi ochroniarskie;316
Zachodniopomorskie;45233120-6;Roboty w zakresie budowy dróg;311
Zachodniopomorskie;90500000-2;Usługi związane z odpadami;257
Łódzkie;45000000-7;Roboty budowlane;4022
Łódzkie;45233140-2;Roboty drogowe;688
Łódzkie;45233120-6;Roboty w zakresie budowy dróg;686
Łódzkie;71320000-7;Usługi inżynieryjne w zakresie projektowania;473
Łódzkie;30200000-1;Urządzenia komputerowe;398
Śląskie;45000000-7;Roboty budowlane;6218
Śląskie;15000000-8;Żywność, napoje, tytoń i produkty pokrewne;788
Śląskie;79710000-4;Usługi ochroniarskie;776
Śląskie;45233140-2;Roboty drogowe;723
Śląskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;687
Świętokrzyskie;45000000-7;Roboty budowlane;1968
Świętokrzyskie;45233140-2;Roboty drogowe;568
Świętokrzyskie;33140000-3;Materiały medyczne;453
Świętokrzyskie;71320000-7;Usługi inżynieryjne w zakresie projektowania;417
Świętokrzyskie;60100000-9;Usługi w zakresie transportu drogowego;298
